Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/sports/nascars-corey-lajoie-partners-chilis-daytona-500-reveals-go-to-order.print,117.32421875,84,text/html
https://www.foxnews.com/sports/gianna-tulio-ryan-blaneys-fiancee-recalls-nascar-champs-massive-daytona-wreck.print,115.955078125,84,text/html
https://www.foxnews.com/sports/joey-logano-ty-gibbs-get-heated-confrontation-clash-at-the-coliseum-race.print,114.037109375,84,text/html
https://www.foxnews.com/sports/michael-jordan-gifted-nascar-star-denny-hamlins-dad-cigar-important-message.print,115.9453125,84,text/html
https://www.foxnews.com/sports/ex-wwe-star-davey-boy-smith-jr-reveals-reaction-vince-mcmahon-allegations.print,112.4248046875,84,text/html
https://www.foxnews.com/sports/nascar-legend-jimmie-johnson-talks-emotions-in-laws-killed-apparent-murder-suicide.print,116.4384765625,84,text/html
https://www.foxnews.com/sports/nascar-star-corey-lajoie-talks-wild-experience-racing-daytona-500.print,117.365234375,84,text/html
https://www.foxnews.com/media/former-wwe-superstar-describes-drastic-steps-transitioning-woman-alpha-males.print,131.2119140625,86,text/html
https://www.foxnews.com/entertainment/mark-wahlberg-weighs-ozempic-stresses-importance-healthy-lifestyle.print,169.9208984375,98,text/html
https://www.foxnews.com/sports/nascar-star-tyler-reddick-elaborates-bet-wife-choose-sons-name.print,114.708984375,83,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-touts-upcoming-opponent-jake-crist-one-best-wrestlers-world.print,111.560546875,84,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-delighted-success-aew-stars-swerve-strickland-mjf.print,116.2392578125,84,text/html
https://www.foxnews.com/sports/nascar-cup-series-championship-four-what-know-2023-title-race,209.224609375,320,text/html
https://www.foxnews.com/sports/davey-boy-smith-jr-make-major-league-wrestling-return-serious-health-issues.print,117.357421875,84,text/html
https://www.foxnews.com/sports/poor-track-etiquette-resulted-repeat-crashes-nascars-truck-series-finale,215.802734375,322,text/html
https://www.foxnews.com/sports/kyle-larson-punches-ticket-championship-four-narrow-win-las-vegas,206.8193359375,320,text/html
https://www.foxnews.com/sports/ryan-blaney-captures-nascar-cup-series-championship-phoenix.amp,128.5341796875,184,text/html
https://www.foxnews.com/category/sports/nfl/new-york-jets,103.5927734375,339,text/html
https://www.foxnews.com/category/sports/nba/utah-jazz,104.50390625,339,text/html
https://www.foxnews.com/category/sports/nfl/new-england-patriots,105.001953125,339,text/html
https://www.foxnews.com/sports/wwe-champ-rhea-ripley-eager-australia-homecoming-elimination-chamber.print,115.99609375,84,text/html
https://www.foxnews.com/sports/wwe-star-jade-cargill-recalls-royal-rumble-debut-wish-relive-again.print,115.220703125,84,text/html
https://www.foxnews.com/sports/49ers-george-kittle-offers-fun-special-way-book-wrestlemania-40-fan-outrage.print,117.8935546875,84,text/html
https://www.foxnews.com/sports/the-rock-inserting-himself-wwe-title-picture-feels-pretty-gross-seth-rollins-says.print,119.90234375,85,text/html
https://www.foxnews.com/sports/the-rock-appears-fire-back-criticism-upcoming-roman-reigns-feud-tough-skin-love-passion.print,115.8515625,85,text/html
https://www.foxnews.com/category/sports/nba/chicago-bulls,103.55078125,339,text/html
https://www.foxnews.com/sports/josh-williams-ready-make-statement-daytona-kaulig-racing.print,125.5234375,85,text/html
https://www.foxnews.com/category/auto/formula-one,107.275390625,339,text/html
https://www.foxnews.com/category/lifestyle/occasions/holiday,110.212890625,354,text/html
https://www.foxnews.com/entertainment/mark-wahlberg-crashed-frat-party-daughters-college-nuts.amp,133.056640625,185,text/html
https://www.foxnews.com/sports/history-nascar-cup-series,209.73046875,320,text/html
https://www.foxnews.com/sports/poor-track-etiquette-resulted-repeat-crashes-nascars-truck-series-finale.amp,133.5693359375,186,text/html
https://www.foxnews.com/sports/denny-hamlin-faces-boos-bristol-win-nascar-star-delivers-terse-response,208.5478515625,320,text/html
https://www.foxnews.com/sports/bubba-wallace-pushes-back-darfs-making-next-round-nascar-playoffs-pole-texas-race,207.8544921875,321,text/html
https://www.foxnews.com/sports/nascar-cup-series-championship-four-what-know-2023-title-race.amp,129.0009765625,184,text/html
https://www.foxnews.com/sports/kyle-larson-punches-ticket-championship-four-narrow-win-las-vegas.amp,127.41015625,184,text/html
https://www.foxnews.com/sports/william-byron-punches-ticket-round-8-victory-texas,216.62109375,319,text/html
